"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"e0775416237335a2e3c1a6c72fdf45a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fa2974b1f70109275811beb1ae321c9",143,1793,155,711,635,588,688,1181,571,607,403,380,572,586,1657,947,1882,317,298,149,148,120,977,3066,904,1120,685,311,318,94,85,1146,714,715,276,182,126,145,82,61,171,138,105,33,14,6,9,6,0,13,1544,706,995,1560,714,434,313,567,277,545
"3d3b8456f25a94a5fb654d950d89ff7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0
"adb66bb8694d9482402ea710749a5e74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0
"cf3381318906e1e08f58bca905636dc0",3450,39512,2221,7386,9828,13306,24158,48349,35461,32774,16251,11752,19523,6026,23965,38376,81359,22509,29189,23664,20936,12486,6134,39433,21137,44494,43517,36862,37654,22591,17965,20445,21089,34075,30181,33003,33450,49145,34640,19586,24599,52814,52019,44422,32066,26019,19827,12830,15263,13735,32432,13999,26610,50210,21444,14495,8959,12814,8616,14128
"836d7a66281192c5285969886c5c3064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0
"6831965db189b84d62550d3fc7ac3362",0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"882604d36ffb4dff6d9c25100203b1b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
"4b04c904a782b37ce632c64a6d1212f5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0
"bb3e83915fc3804efec1b64f5dea8ef1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98f53519513214e968c569829a1471bb",0,47,0,4,8,11,33,47,45,63,19,0,45,0,23,50,119,13,49,24,35,24,0,33,25,53,56,44,60,53,44,38,41,57,64,80,88,127,159,54,88,205,225,174,108,132,76,63,55,37,0,19,31,65,42,24,0,8,8,16
"a5e4fa1c4fdfceff6877d2ba21ae0b91",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,59,44,0,41,25,44,57,65,75,92,94,76,16,0,0,0,0,0,0,0,0,0,0
"5d622814f77cf33ef91d365003c81b19",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709be4782332e3ad904b1d2c3eda63ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0
"d5c62883f6e56836e55aefb9a15623a5",89,949,44,188,180,264,426,1176,1177,1519,1166,931,1007,69,192,308,754,225,472,383,444,415,13,30,10,35,69,35,57,97,54,0,0,0,0,0,0,7,13,0,17,0,0,0,0,0,0,0,0,0,974,800,1139,1788,801,481,238,474,206,408
